ID,present,WC_alt,WC_bio1,WC_bio2,ER_climaticMoistureIndex,ER_topoWet,lon,lat
1845,1,199,29.200000762939453,13.899999618530273,-0.7699999809265137,12.970000267028809,2.918205,13.422681
1846,1,230,28.899999618530273,13.600000381469727,-0.699999988079071,12.880000114440918,2.77487,12.754756
1847,1,245,28.899999618530273,14,-0.7799999713897705,12.84000015258789,2.816355,13.523454
1848,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.851483,13.426309
1849,1,239,28.799999237060547,13.600000381469727,-0.6899999976158142,12.880000114440918,2.679685,12.696524
1850,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.855322,13.467968
1851,1,199,29.200000762939453,13.899999618530273,-0.7699999809265137,12.970000267028809,2.998293,13.425746
1852,1,245,28.899999618530273,14,-0.7799999713897705,12.84000015258789,2.823585,13.503085
1853,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.879033,13.426846
1854,1,199,29.200000762939453,13.899999618530273,-0.7699999809265137,12.970000267028809,2.994487,13.449709
1855,1,219,28.899999618530273,13.5,-0.6899999976158142,12.609999656677246,2.791159,12.651751
1856,1,205,29.100000381469727,13.800000190734863,-0.75,12.869999885559082,2.959841,13.32609
1857,1,230,29.100000381469727,14,-0.7900000214576721,12.770000457763672,2.835827,13.588153
1858,1,234,29,14,-0.7799999713897705,12.720000267028809,2.851374,13.548629
1859,1,234,29,14,-0.7799999713897705,12.720000267028809,2.90157,13.560972
1860,1,222,29,13.899999618530273,-0.7599999904632568,12.539999961853027,2.82093,13.412309
1861,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.907117,13.418469
1862,1,199,29.200000762939453,13.899999618530273,-0.7699999809265137,12.970000267028809,2.977184,13.461256
1863,1,230,29.100000381469727,14,-0.7900000214576721,12.770000457763672,2.859852,13.58955
1864,1,230,28.899999618530273,13.600000381469727,-0.699999988079071,12.880000114440918,2.794141,12.785362
1865,1,205,29.200000762939453,14,-0.7900000214576721,13.510000228881836,2.925499,13.591623
1866,1,230,28.899999618530273,13.600000381469727,-0.699999988079071,12.880000114440918,2.757743,12.794873
1867,1,202,29.200000762939453,13.899999618530273,-0.7799999713897705,12.930000305175781,2.98011,13.54849
1868,1,232,29,14,-0.7699999809265137,12.430000305175781,2.823407,13.476384
1869,1,245,28.899999618530273,14,-0.7799999713897705,12.84000015258789,2.810857,13.560385
1870,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.84118,13.428937
1871,1,215,28.899999618530273,13.600000381469727,-0.699999988079071,12.510000228881836,2.769329,12.681851
1872,1,199,29.200000762939453,13.899999618530273,-0.7699999809265137,12.970000267028809,2.926596,13.464529
1873,1,203,29.100000381469727,13.899999618530273,-0.7599999904632568,12.789999961853027,2.962083,13.411595
1874,1,209,29.100000381469727,13.899999618530273,-0.7599999904632568,13.0600004196167,2.885187,13.415396
1875,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.86607,13.492868
1876,1,220,29.100000381469727,13.899999618530273,-0.7699999809265137,12.65999984741211,2.886325,13.459369
1877,1,234,29,14,-0.7799999713897705,12.720000267028809,2.915955,13.538623
1878,1,239,28.799999237060547,13.600000381469727,-0.6899999976158142,12.880000114440918,2.67303,12.711509
1879,1,196,29.200000762939453,13.899999618530273,-0.75,13.34000015258789,2.864759,13.288531
1880,1,202,29.200000762939453,13.899999618530273,-0.7799999713897705,12.930000305175781,2.921809,13.53078
